crt.sh  Identity Search               Group by Issuer

Criteria	Type: Identity    Match: ILIKE    Search: 'illinois.edu'

Sorry, your search results have been truncated.
It is not currently possible to sort and paginate large result sets efficiently, so only a random subset is shown below.
Please retry your search with expired certificates excluded.
Certificates	
crt.sh ID	 Logged At  ⇧	Not Before	Not After	Common Name	Matching Identities	Issuer Name
2387357123	2020-01-29	2006-07-17	2007-07-17	www.carli.illinois.edu	www.carli.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2380531305	2020-01-26	2010-07-29	2011-08-03	test.webstore.illinois.edu	test.webstore.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380532321	2020-01-26	2010-10-14	2011-10-17	imcollaborator.ds.illinois.edu	imcollaborator.ds.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380531654	2020-01-26	2010-08-24	2011-09-10	moodle.idtg.illinois.edu	moodle.idtg.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380528544	2020-01-26	2010-07-14	2011-07-14	tlt.atlas.illinois.edu	tlt.atlas.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380528428	2020-01-26	2010-08-12	2011-08-12	subversion.ews.illinois.edu	subversion.ews.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380528530	2020-01-26	2010-07-30	2011-07-30	courses.engr.illinois.edu	courses.engr.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380528535	2020-01-26	2010-10-21	2011-11-11	wiki.ncsa.illinois.edu	wiki.ncsa.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380527316	2020-01-26	2010-07-26	2011-07-26	network.cs.illinois.edu	network.cs.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380528264	2020-01-26	2010-09-08	2011-09-08	dmserv2.cs.illinois.edu	dmserv2.cs.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380527308	2020-01-26	2010-09-20	2011-09-20	dms.4-h.illinois.edu	dms.4-h.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380525989	2020-01-26	2010-10-28	2011-10-28	events.careercenter.illinois.edu	events.careercenter.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380526030	2020-01-26	2010-08-12	2011-08-12	bbpilot01.cites.illinois.edu	bbpilot01.cites.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380524753	2020-01-26	2010-09-07	2011-09-08	cilabs.illinois.edu	cilabs.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
